choice,FSG_1,FSG_2,FSG_3,FSG_4,FSG_5,FSO_1,FSO_2,FSO_3,FSO_4,FSO_5,TT_1,TT_2,TT_3,TT_4,TT_5
2,1730,3153,526,1190,1463,15564,6816,3918,1597,2508,724,724,1000,1368,1392
2,526,1184,3153,1730,1190,3918,228,6816,15564,1597,972,0,1512,1512,2608
1,1239,1504,671,527,526,12395,198,1492,106,3918,1828,0,1600,1828,972
4,527,1504,671,1239,2477,106,198,1492,12395,10492,1828,0,1600,1828,1828
4,1190,1730,526,3153,671,1597,15564,3918,6816,1492,1368,724,1000,724,1600
3,526,1730,3153,1190,1463,3918,15564,6816,1597,2508,1000,724,724,1368,1392
1,2304,324,0,666,526,8249,6322,40,1355,3918,0,0,660,660,0
4,442,143,1148,3610,2304,457,65,1063,5189,8249,0,0,0,1840,0
5,1265,143,1148,442,898,315,65,1063,457,56296,0,0,0,0,1160
5,442,309,4054,5190,1223,457,33,2456,59651,42422,0,0,588,588,1800
3,4054,309,770,5190,379,2456,33,289,59651,225,588,0,0,588,1176
1,2121,2109,1792,360,4054,41669,1759,2677,100,2456,2260,1192,2784,2784,588
1,578,2109,1792,360,2932,105,1759,2677,100,2181,1680,1192,2784,2784,1852
4,646,75,2274,927,2109,194,315,8347,2632,1759,2380,0,2380,0,1192
4,54,5190,163,4054,927,1601,59651,1310,2456,2632,398,250,398,250,0
2,1331,1325,45,384,10325,9861,30295,111,551,37322,0,337,230,230,337
2,1314,898,6617,1614,1331,6220,56296,95932,1645,9861,0,249,249,403,0
1,44,1314,898,6617,1614,2242,6220,56296,95932,1645,1328,0,600,600,1140
3,1765,66,3610,898,1314,655,0,5189,56296,6220,1296,0,0,1612,0
3,361,44,1645,1399,3610,217,2242,590,1189,5189,976,0,0,1216,0
1,2121,388,702,148,867,41669,252,792,3677,197,836,0,0,836,0
1,1792,388,702,148,6438,2677,252,792,3677,77335,1200,0,0,836,836
5,1828,1331,45,384,1325,8660,9861,111,551,30295,0,0,230,230,337
4,1774,867,574,3418,379,1950,197,593,6650,225,334,0,247,565,565
4,0,854,63,2725,867,5333,263,1050,3107,197,488,0,488,549,0
4,20452,401,2705,2469,842,83361,4547,89841,17977,956,556,556,556,0,820
3,2705,401,2469,20452,842,89841,4547,17977,83361,956,556,556,0,556,820
1,1314,63,0,898,6617,6220,1050,5333,56296,95932,1544,0,0,892,892
2,105,3418,77,379,449,70,6650,195,225,349,0,0,0,0,900
1,4054,806,1153,2792,379,2456,112,1903,1896,225,1664,0,0,0,0
3,1774,574,5190,867,1153,1950,593,59651,197,1903,449,0,895,247,0
2,91,4358,889,1199,927,401,16200,480,13735,2632,0,0,476,476,0
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,609,0,759
2,217,1617,1816,233,163,216,1259,3919,1470,1310,0,0,1884,0,2200
4,6617,1314,898,1614,233,95932,6220,56296,1645,1470,600,0,600,1140,0
2,27,2701,1668,3400,1314,120,4208,10866,17619,6220,0,0,0,1400,0
2,85,2773,183,733,2701,0,4402,328,5931,4208,0,0,0,0,0
4,1188,1190,1463,2705,733,3200,1597,2508,89841,5931,334,0,123,489,0
